trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'a': 0.01, 'e': 0.5471566423907612}",20,6,18.626802841082718,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.5416850759668536}",25,3,-145.18290409918814,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 2}",1
63,False,"{'a': 0.01, 'e': 0.536268225207185}",20,3,17.793674919940994,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.01, 'e': 0.5309055429551132}",25,17,13.746986425124302,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.525596487525562}",25,13,-29.439223304256455,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.01, 'e': 0.5203405226503064}",30,19,-19.896071356746987,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.01, 'e': 0.5151371174238033}",20,0,-8.625281024607059,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
68,False,"{'a': 0.01, 'e': 0.5099857462495653}",30,9,-137.28322813997283,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 3}",1
69,False,"{'a': 0.01, 'e': 0.5048858887870696}",30,9,-12.264765712679365,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.01, 'e': 0.4998370298991989}",20,3,-20.904533503890413,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.49483865960020695}",25,0,-3.522845322529067,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.4898902730042049}",20,14,7.907630077118441,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.48499137027416284}",25,6,-24.673282105010717,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.4801414565714212}",25,8,-4.096304001281526,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.47534004200570695}",25,0,-0.38458482127464144,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
76,False,"{'a': 0.01, 'e': 0.4705866415856499}",30,3,-29.375895166424716,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.46588077516979337}",25,0,-80.71461778475776,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
78,False,"{'a': 0.01, 'e': 0.46122196741809546}",20,0,-13.315249717776343,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
79,False,"{'a': 0.01, 'e': 0.4566097477439145}",30,0,-65.63854881311494,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
80,False,"{'a': 0.01, 'e': 0.45204365026647536}",25,0,-39.838588407440405,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
81,False,"{'a': 0.01, 'e': 0.4475232137638106}",30,0,-124.55824710646817,"{0: 23, 1: 2, 2: 1, 3: 1, 4: 3}",0
82,False,"{'a': 0.01, 'e': 0.4430479816261725}",30,15,26.228692792047713,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.01, 'e': 0.43861750180991077}",30,12,-20.477150209605885,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.43423132679181164}",20,3,-6.18141204438526,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.4298890135238935}",30,13,-0.3259581656416124,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.4255901233886546}",35,18,28.787455242292218,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.421334222154768}",30,13,-46.007151505716095,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
88,False,"{'a': 0.01, 'e': 0.41712087993322033}",25,0,-28.721993753422606,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
89,False,"{'a': 0.01, 'e': 0.41294967113388814}",20,9,4.794513001596989,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.40882017442254925}",20,7,-19.51693426021681,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.01, 'e': 0.4047319726783238}",20,0,-28.227015581870717,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.40068465295154054}",20,15,10.187019962808103,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.3966778064220251}",30,0,-37.60014314441398,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
94,False,"{'a': 0.01, 'e': 0.39271102835780486}",25,13,-26.724563529506444,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
95,False,"{'a': 0.01, 'e': 0.3887839180742268}",25,6,2.8346456859714015,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.38489607889348454}",25,0,8.89861770517698,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
